"U.S. electricity generation by major energy source, 1950-2018",,,,,
billion kilowatthours,,,,,
Note: Electricity generation from utility-scale facilities.,,,,,
"Source: U.S. Energy Information Administration, <em>Monthly Energy Review</em>, Table 7.2a, March 2019",,,,,
,,,,,
,coal,natural gas,nuclear,renewables,petroleum and other
1950,155,45,0,101,34
1951,185,57,0,105,29
1952,195,68,0,110,30
1953,219,80,0,110,38
1954,239,94,0,112,32
1955,301,95,0,117,37
1956,339,104,0,125,36
1957,346,114,0,134,40
1958,344,120,0,144,40
1959,378,147,0,141,47
1960,403,158,1,150,48
1961,422,169,2,156,49
1962,450,184,2,172,49
1963,494,202,3,169,52
1964,526,220,3,181,57
1965,571,222,4,197,65
1966,613,251,6,198,79
1967,630,265,8,226,89
1968,685,304,13,227,104
1969,706,333,14,254,138
1970,704,373,22,252,184
1971,713,374,38,270,220
1972,771,376,54,278,274
1973,848,341,83,278,314
1974,828,320,114,307,301
1975,853,300,173,307,289
1976,944,295,191,291,320
1977,985,306,251,228,358
1978,976,305,276,287,365
1979,1075,329,255,287,304
1980,1162,346,251,285,246
1981,1203,346,273,270,206
1982,1192,305,283,318,147
1983,1259,274,294,342,144
1984,1342,297,328,333,120
1985,1402,292,384,295,100
1986,1386,249,414,306,137
1987,1464,273,455,265,118
1988,1541,253,527,238,149
1989,1584,353,529,325,176
1990,1594,373,577,357,137
1991,1591,382,613,358,131
1992,1621,404,619,327,113
1993,1690,415,610,357,125
1994,1691,460,640,337,120
1995,1709,496,673,385,90
1996,1795,455,675,423,96
1997,1845,479,629,434,105
1998,1874,531,674,400,141
1999,1881,556,728,399,130
2000,1966,601,754,356,124
2001,1904,639,769,288,137
2002,1933,691,780,343,111
2003,1974,650,764,355,141
2004,1978,710,789,351,142
2005,2013,761,782,358,142
2006,1991,816,787,386,85
2007,2016,897,806,353,85
2008,1986,883,806,381,63
2009,1756,921,799,418,57
2010,1847,988,807,427,56
2011,1733,1014,790,513,49
2012,1514,1226,769,495,44
2013,1581,1125,789,522,49
2014,1582,1127,797,539,50
2015,1352,1333,797,544,50
2016,1239,1378,806,609,44
2017,1206,1296,805,687,40
2018,1146,1468,807,713,44